DATE,HIBPPRIV
1988-01-01,211
1988-02-01,451
1988-03-01,460
1988-04-01,867
1988-05-01,537
1988-06-01,721
1988-07-01,803
1988-08-01,701
1988-09-01,608
1988-10-01,700
1988-11-01,681
1988-12-01,344
1989-01-01,624
1989-02-01,621
1989-03-01,597
1989-04-01,696
1989-05-01,1303
1989-06-01,1233
1989-07-01,760
1989-08-01,1007
1989-09-01,865
1989-10-01,909
1989-11-01,793
1989-12-01,285
1990-01-01,694
1990-02-01,533
1990-03-01,589
1990-04-01,877
1990-05-01,709
1990-06-01,709
1990-07-01,611
1990-08-01,410
1990-09-01,586
1990-10-01,759
1990-11-01,720
1990-12-01,837
1991-01-01,391
1991-02-01,785
1991-03-01,1230
1991-04-01,989
1991-05-01,998
1991-06-01,386
1991-07-01,536
1991-08-01,1033
1991-09-01,559
1991-10-01,1183
1991-11-01,377
1991-12-01,422
1992-01-01,399
1992-02-01,663
1992-03-01,657
1992-04-01,829
1992-05-01,505
1992-06-01,273
1992-07-01,653
1992-08-01,767
1992-09-01,1246
1992-10-01,527
1992-11-01,508
1992-12-01,922
1993-01-01,423
1993-02-01,366
1993-03-01,482
1993-04-01,554
1993-05-01,613
1993-06-01,460
1993-07-01,485
1993-08-01,596
1993-09-01,717
1993-10-01,775
1993-11-01,362
1993-12-01,206
1994-01-01,409
1994-02-01,594
1994-03-01,225
1994-04-01,463
1994-05-01,878
1994-06-01,593
1994-07-01,537
1994-08-01,639
1994-09-01,843
1994-10-01,788
1994-11-01,993
1994-12-01,366
1995-01-01,556
1995-02-01,1038
1995-03-01,490
1995-04-01,360
1995-05-01,309
1995-06-01,736
1995-07-01,817
1995-08-01,260
1995-09-01,894
1995-10-01,342
1995-11-01,327
1995-12-01,267
1996-01-01,244
1996-02-01,306
1996-03-01,430
1996-04-01,220
1996-05-01,204
1996-06-01,310
1996-07-01,623
1996-08-01,370
1996-09-01,340
1996-10-01,214
1996-11-01,357
1996-12-01,185
1997-01-01,145
1997-02-01,159
1997-03-01,240
1997-04-01,712
1997-05-01,665
1997-06-01,470
1997-07-01,325
1997-08-01,289
1997-09-01,306
1997-10-01,215
1997-11-01,328
1997-12-01,180
1998-01-01,179
1998-02-01,240
1998-03-01,272
1998-04-01,230
1998-05-01,277
1998-06-01,241
1998-07-01,262
1998-08-01,224
1998-09-01,355
1998-10-01,247
1998-11-01,185
1998-12-01,225
1999-01-01,309
1999-02-01,184
1999-03-01,309
1999-04-01,235
1999-05-01,350
1999-06-01,391
1999-07-01,459
1999-08-01,412
1999-09-01,219
1999-10-01,324
1999-11-01,309
1999-12-01,317
2000-01-01,229
2000-02-01,196
2000-03-01,442
2000-04-01,333
2000-05-01,436
2000-06-01,372
2000-07-01,298
2000-08-01,374
2000-09-01,298
2000-10-01,339
2000-11-01,398
2000-12-01,318
2001-01-01,311
2001-02-01,403
2001-03-01,372
2001-04-01,364
2001-05-01,552
2001-06-01,367
2001-07-01,405
2001-08-01,448
2001-09-01,441
2001-10-01,415
2001-11-01,319
2001-12-01,211
2002-01-01,259
2002-02-01,289
2002-03-01,279
2002-04-01,509
2002-05-01,802
2002-06-01,400
2002-07-01,407
2002-08-01,541
2002-09-01,576
2002-10-01,652
2002-11-01,388
2002-12-01,470
2003-01-01,723
2003-02-01,491
2003-03-01,649
2003-04-01,436
2003-05-01,372
2003-06-01,653
2003-07-01,501
2003-08-01,467
2003-09-01,403
2003-10-01,468
2003-11-01,430
2003-12-01,413
2004-01-01,821
2004-02-01,783
2004-03-01,807
2004-04-01,701
2004-05-01,648
2004-06-01,1024
2004-07-01,653
2004-08-01,755
2004-09-01,575
2004-10-01,692
2004-11-01,677
2004-12-01,514
2005-01-01,439
2005-02-01,597
2005-03-01,1080
2005-04-01,822
2005-05-01,820
2005-06-01,841
2005-07-01,589
2005-08-01,858
2005-09-01,1130
2005-10-01,849
2005-11-01,556
2005-12-01,773
2006-01-01,460
2006-02-01,910
2006-03-01,858
2006-04-01,514
2006-05-01,593
2006-06-01,662
2006-07-01,557
2006-08-01,654
2006-09-01,446
2006-10-01,1089
2006-11-01,293
2006-12-01,513
2007-01-01,862
2007-02-01,690
2007-03-01,587
2007-04-01,514
2007-05-01,622
2007-06-01,977
2007-07-01,334
2007-08-01,628
2007-09-01,412
2007-10-01,447
2007-11-01,326
2007-12-01,367
2008-01-01,325
2008-02-01,384
2008-03-01,305
2008-04-01,460
2008-05-01,515
2008-06-01,516
2008-07-01,347
2008-08-01,355
2008-09-01,344
2008-10-01,179
2008-11-01,419
2008-12-01,212
2009-01-01,355
2009-02-01,254
2009-03-01,190
2009-04-01,160
2009-05-01,137
2009-06-01,221
2009-07-01,200
2009-08-01,235
2009-09-01,255
2009-10-01,296
2009-11-01,171
2009-12-01,118
2010-01-01,135
2010-02-01,761
2010-03-01,456
2010-04-01,195
2010-05-01,456
2010-06-01,165
2010-07-01,144
2010-08-01,306
2010-09-01,281
2010-10-01,174
2010-11-01,165
2010-12-01,168
2011-01-01,116
2011-02-01,197
2011-03-01,140
2011-04-01,331
2011-05-01,196
2011-06-01,422
2011-07-01,178
2011-08-01,248
2011-09-01,721
2011-10-01,178
2011-11-01,384
2011-12-01,229
2012-01-01,209
2012-02-01,96
2012-03-01,366
2012-04-01,390
2012-05-01,176
2012-06-01,496
2012-07-01,270
2012-08-01,179
2012-09-01,228
2012-10-01,437
2012-11-01,159
2012-12-01,404
2013-01-01,462
2013-02-01,200
2013-03-01,343
2013-04-01,228
2013-05-01,231
2013-06-01,208
2013-07-01,219
2013-08-01,231
2013-09-01,859
2013-10-01,367
2013-11-01,218
2013-12-01,315
2014-01-01,140
2014-02-01,163
2014-03-01,148
2014-04-01,256
2014-05-01,197
2014-06-01,317
2014-07-01,279
2014-08-01,217
2014-09-01,122
2014-10-01,228
2014-11-01,279
2014-12-01,724
2015-01-01,743
2015-02-01,504
2015-03-01,151
2015-04-01,595
2015-05-01,312
2015-06-01,379
2015-07-01,253
2015-08-01,803
2015-09-01,174
2015-10-01,630
2015-11-01,192
2015-12-01,680
2016-01-01,173
2016-02-01,264
2016-03-01,207
2016-04-01,309
2016-05-01,233
2016-06-01,776
2016-07-01,273
2016-08-01,239
2016-09-01,349
2016-10-01,178
2016-11-01,322
2016-12-01,197
2017-01-01,252
2017-02-01,200
2017-03-01,303
2017-04-01,186
2017-05-01,382
2017-06-01,358
2017-07-01,276
2017-08-01,265
2017-09-01,817
2017-10-01,413
2017-11-01,223
2017-12-01,313
2018-01-01,224
2018-02-01,701
2018-03-01,355
2018-04-01,265.0
2018-05-01,348.0
2018-06-01,464.0
2018-07-01,270.0
2018-08-01,332.0
2018-09-01,487.0
2018-10-01,364.0
2018-11-01,270.0
2018-12-01,222.0
2019-01-01,432.0
2019-02-01,246.0
2019-03-01,247.0
2019-04-01,153.0
2019-05-01,866.0
2019-06-01,338.0
2019-07-01,270.0
2019-08-01,307.0
2019-09-01,370.0
